ano,meses,dia,fechamentoibov,aberturaibov,maxibov,minibov,volibov,aberturausd,maxusd,minusd,fechamentousd,volusd
2010,4,13,70792.000000,70618.000000,71053.000000,70169.000000,1634200,1.757200,1.765100,1.704300,1.713500,0
2010,4,14,71035.000000,70794.000000,71207.000000,70628.000000,1758800,1.699500,1.747700,1.699500,1.746000,0
2010,4,15,70524.000000,71036.000000,71066.000000,70429.000000,2264600,1.695000,1.750700,1.695000,1.750000,0
2010,4,16,69421.000000,70522.000000,70522.000000,69013.000000,2043800,1.699100,1.760800,1.699100,1.756200,0
2010,4,19,69098.000000,69418.000000,69431.000000,68378.000000,1722000,1.709900,1.765800,1.709900,1.760300,0
2010,4,20,69318.000000,69101.000000,69702.000000,69101.000000,1750200,1.704900,1.753300,1.704900,1.752500,0
2010,4,22,69386.000000,69313.000000,69528.000000,68081.000000,1787200,1.702400,1.767000,1.702400,1.763500,0
2010,4,23,69509.000000,69388.000000,69709.000000,68832.000000,1366800,1.714400,1.764000,1.714400,1.762800,0
2010,4,26,68872.000000,69509.000000,69810.000000,68813.000000,1179400,1.705700,1.753100,1.705700,1.744000,0
2010,4,27,66511.000000,68868.000000,68868.000000,66499.000000,2062200,1.696300,1.765000,1.696300,1.765000,0
2010,4,28,66656.000000,66513.000000,67253.000000,65914.000000,1855600,1.724900,1.768800,1.721100,1.758100,0
2010,4,29,67978.000000,66661.000000,68012.000000,66661.000000,1609400,1.702100,1.750000,1.702100,1.731000,0
2010,4,30,67530.000000,67975.000000,67975.000000,67243.000000,2120200,1.679000,1.730600,1.679000,1.728700,0
2010,5,3,67119.000000,67534.000000,67969.000000,66723.000000,1776000,1.689000,1.737000,1.689000,1.731000,0
2010,5,4,64869.000000,67116.000000,67116.000000,64588.000000,2820000,1.677200,1.758900,1.677200,1.749300,0
2010,5,5,64914.000000,64859.000000,65612.000000,63533.000000,2681200,1.713500,1.789300,1.713500,1.779800,0
2010,5,6,63414.000000,64915.000000,65533.000000,60774.000000,3207600,1.744500,1.841800,1.744500,1.834100,0
2010,5,7,62871.000000,63416.000000,63945.000000,61663.000000,2903400,1.804700,1.867100,1.804700,1.849500,0
2010,5,10,65453.000000,62872.000000,66083.000000,62872.000000,2377400,1.787000,1.835000,1.774900,1.774900,0
2010,5,11,64425.000000,65449.000000,65733.000000,64425.000000,2401600,1.721500,1.788100,1.721500,1.775500,0
2010,5,12,65224.000000,64438.000000,65351.000000,64438.000000,1981400,1.739200,1.786400,1.739200,1.773500,0
2010,5,13,64788.000000,65223.000000,65427.000000,64738.000000,1798200,1.726100,1.770000,1.726100,1.770000,0
2010,5,14,63412.000000,64787.000000,64787.000000,63050.000000,2220800,1.723700,1.814500,1.723700,1.802500,0
2010,5,17,62866.000000,63406.000000,63593.000000,61825.000000,2746000,1.749300,1.818200,1.749300,1.803300,0
2010,5,18,60841.000000,62871.000000,63529.000000,60810.000000,2787000,1.750200,1.816000,1.750200,1.816000,0
2010,5,19,59689.000000,60841.000000,60850.000000,59068.000000,3203000,1.770600,1.854900,1.770600,1.829700,0
2010,5,20,58192.000000,59684.000000,59684.000000,57634.000000,3369200,1.777200,1.893500,1.777200,1.884800,0
2010,5,21,60259.000000,58192.000000,60303.000000,57997.000000,2558200,1.831900,1.899000,1.831900,1.846800,0
2010,5,24,59915.000000,60255.000000,60850.000000,59815.000000,1792600,1.811800,1.863800,1.811800,1.862200,0
2010,5,25,59184.000000,59912.000000,59912.000000,57876.000000,2477800,1.819500,1.909000,1.819500,1.868500,0
2010,5,26,60190.000000,59182.000000,60701.000000,59179.000000,3638600,1.794000,1.863000,1.794000,1.863000,0
2010,5,27,62092.000000,60191.000000,62262.000000,60189.000000,2388000,1.855700,1.870500,1.816000,1.816000,0
2010,5,28,61947.000000,62080.000000,62247.000000,61305.000000,2081600,1.764300,1.825500,1.764300,1.814300,0
2010,5,31,63047.000000,61950.000000,63047.000000,61950.000000,1197600,1.764800,1.814900,1.732800,1.814400,0
2010,6,1,61841.000000,63033.000000,63033.000000,61605.000000,2253800,1.816800,1.834400,1.811900,1.834000,0
2010,6,2,62943.000000,61836.000000,63198.000000,61814.000000,1878400,1.798000,1.845300,1.798000,1.831000,0
2010,6,4,61676.000000,62940.000000,62940.000000,61422.000000,1691000,1.816400,1.844400,1.815600,1.838900,0
2010,6,7,61183.000000,61675.000000,62119.000000,61099.000000,1627000,1.814800,1.874000,1.814800,1.874000,0
2010,6,8,61856.000000,61187.000000,62000.000000,61187.000000,1605200,1.829500,1.876800,1.829500,1.860000,0
